project_name,project_links,type,units
Westmere,https://www.propertyguru.com.sg//project/westmere-525,condo,286.0
DLV,https://www.propertyguru.com.sg//project/dlv-544,condo,25.0
Southaven I,https://www.propertyguru.com.sg//project/southaven-i-570,condo,157.0
Bishan 8,https://www.propertyguru.com.sg//project/bishan-8-532,condo,200.0
Chancery Court,https://www.propertyguru.com.sg//project/chancery-court-545,condo,136.0
Flame Tree Park,https://www.propertyguru.com.sg//project/flame-tree-park-549,condo,160.0
Jervois Lodge,https://www.propertyguru.com.sg//project/jervois-lodge-551,condo,108.0
Nathan Place,https://www.propertyguru.com.sg//project/nathan-place-543,condo,45.0
Island View,https://www.propertyguru.com.sg//project/island-view-536,condo,72.0
The Claymore,https://www.propertyguru.com.sg//project/the-claymore-533,condo,146.0
Glendale Park,https://www.propertyguru.com.sg//project/glendale-park-535,condo,448.0
Vitra,https://www.propertyguru.com.sg//project/vitra-558,condo,17.0
The Heliconia,https://www.propertyguru.com.sg//project/the-heliconia-578,condo,103.0
Scotts Highpark,https://www.propertyguru.com.sg//project/scotts-highpark-559,condo,73.0
The Spectrum,https://www.propertyguru.com.sg//project/the-spectrum-562,condo,72.0
The Sovereign,https://www.propertyguru.com.sg//project/the-sovereign-568,condo,87.0
Balmoral 8,https://www.propertyguru.com.sg//project/balmoral-8-567,condo,40.0
Hume Park I,https://www.propertyguru.com.sg//project/hume-park-i-552,condo,328.0
Tanglin Hill Condo,https://www.propertyguru.com.sg//project/tanglin-hill-condo-596,condo,52.0
Country Park Condo,https://www.propertyguru.com.sg//project/country-park-condo-592,condo,160.0
Holland Peak,https://www.propertyguru.com.sg//project/holland-peak-579,condo,132.0
18 Shelford,https://www.propertyguru.com.sg//project/18-shelford-583,condo,19.0
Beaverton Court,https://www.propertyguru.com.sg//project/beaverton-court-577,condo,54.0
Eastern Lagoon II,https://www.propertyguru.com.sg//project/eastern-lagoon-ii-590,condo,307.0
Rich Mansions,https://www.propertyguru.com.sg//project/rich-mansions-585,condo,37.0
The Abode at Devonshire,https://www.propertyguru.com.sg//project/the-abode-at-devonshire-595,condo,26.0
Katong Gardens,https://www.propertyguru.com.sg//project/katong-gardens-588,condo,80.0
Laguna Green,https://www.propertyguru.com.sg//project/laguna-green-581,condo,121.0
Modena,https://www.propertyguru.com.sg//project/modena-601,condo,230.0
Fontana Heights,https://www.propertyguru.com.sg//project/fontana-heights-615,condo,51.0
The Mint Residences,https://www.propertyguru.com.sg//project/the-mint-residences-600,condo,24.0
Parkshore,https://www.propertyguru.com.sg//project/parkshore-593,condo,152.0
Mount Faber Lodge,https://www.propertyguru.com.sg//project/mount-faber-lodge-586,condo,84.0
Sunshine Mansions,https://www.propertyguru.com.sg//project/sunshine-mansions-591,condo,14.0
Landridge Condo,https://www.propertyguru.com.sg//project/landridge-condo-617,condo,72.0
Chelsea Lodge,https://www.propertyguru.com.sg//project/chelsea-lodge-632,condo,78.0
The Balmoral,https://www.propertyguru.com.sg//project/the-balmoral-626,condo,81.0
Pinewood Gardens,https://www.propertyguru.com.sg//project/pinewood-gardens-616,condo,149.0
The Glacier,https://www.propertyguru.com.sg//project/the-glacier-622,condo,40.0
Rivershire,https://www.propertyguru.com.sg//project/rivershire-621,condo,74.0
St Michael's Condo,https://www.propertyguru.com.sg//project/st-michael-s-condo-631,condo,60.0
Casa Esperanza,https://www.propertyguru.com.sg//project/casa-esperanza-610,condo,90.0
D'Ecosia,https://www.propertyguru.com.sg//project/d-ecosia-639,condo,73.0
D'Grove Villas,https://www.propertyguru.com.sg//project/d-grove-villas-640,condo,45.0
Balmoral Gate,https://www.propertyguru.com.sg//project/balmoral-gate-645,condo,57.0
Palmwoods,https://www.propertyguru.com.sg//project/palmwoods-634,condo,87.0
Goldenhill Park Condo,https://www.propertyguru.com.sg//project/goldenhill-park-condo-635,condo,390.0
The Chatelet,https://www.propertyguru.com.sg//project/the-chatelet-628,condo,45.0
Dahlia Park Condo,https://www.propertyguru.com.sg//project/dahlia-park-condo-660,condo,299.0
Duchess Manor,https://www.propertyguru.com.sg//project/duchess-manor-668,condo,52.0
The Morningside,https://www.propertyguru.com.sg//project/the-morningside-652,condo,79.0
Nim Gardens,https://www.propertyguru.com.sg//project/nim-gardens-659,condo,127.0
Fairmount Condo,https://www.propertyguru.com.sg//project/fairmount-condo-666,condo,64.0
The Twins,https://www.propertyguru.com.sg//project/the-twins-671,condo,16.0
The Balmoral Spring,https://www.propertyguru.com.sg//project/the-balmoral-spring-657,condo,27.0
Fort Gardens,https://www.propertyguru.com.sg//project/fort-gardens-656,condo,69.0
Hillview Park,https://www.propertyguru.com.sg//project/hillview-park-658,condo,184.0
Clydesview,https://www.propertyguru.com.sg//project/clydesview-669,condo,32.0
The Dairy Farm,https://www.propertyguru.com.sg//project/the-dairy-farm-685,condo,477.0
Laguna 88,https://www.propertyguru.com.sg//project/laguna-88-688,condo,88.0
Chantilly Rise,https://www.propertyguru.com.sg//project/chantilly-rise-691,condo,120.0
Changi Green,https://www.propertyguru.com.sg//project/changi-green-655,condo,256.0
Derbyshire Heights,https://www.propertyguru.com.sg//project/derbyshire-heights-678,condo,24.0
Sutton Place,https://www.propertyguru.com.sg//project/sutton-place-681,condo,44.0
East Signature,https://www.propertyguru.com.sg//project/east-signature-699,condo,20.0
Brookvale Park,https://www.propertyguru.com.sg//project/brookvale-park-695,condo,160.0
Marymount View,https://www.propertyguru.com.sg//project/marymount-view-683,condo,68.0
The Ansley,https://www.propertyguru.com.sg//project/the-ansley-696,condo,100.0
One K Green Lane,https://www.propertyguru.com.sg//project/one-k-green-lane-690,condo,17.0
Butterworth 8,https://www.propertyguru.com.sg//project/butterworth-8-711,condo,216.0
Rosalia Park,https://www.propertyguru.com.sg//project/rosalia-park-709,condo,88.0
La Crystal,https://www.propertyguru.com.sg//project/la-crystal-697,condo,85.0
Duet,https://www.propertyguru.com.sg//project/duet-735,condo,42.0
Villa Azura,https://www.propertyguru.com.sg//project/villa-azura-717,condo,53.0
The Aston,https://www.propertyguru.com.sg//project/the-aston-702,condo,80.0
Centro Mansions,https://www.propertyguru.com.sg//project/centro-mansions-716,condo,14.0
Eunos Park,https://www.propertyguru.com.sg//project/eunos-park-736,condo,55.0
Casa Jervois,https://www.propertyguru.com.sg//project/casa-jervois-721,condo,31.0
Cascadale,https://www.propertyguru.com.sg//project/cascadale-719,condo,134.0
Pinehurst Condo,https://www.propertyguru.com.sg//project/pinehurst-condo-720,condo,41.0
Dunman Place,https://www.propertyguru.com.sg//project/dunman-place-713,condo,69.0
Western Grove,https://www.propertyguru.com.sg//project/western-grove-757,condo,18.0
Reflections at Keppel Bay,https://www.propertyguru.com.sg//project/reflections-at-keppel-bay-745,condo,1129.0
Elizabeth Tower,https://www.propertyguru.com.sg//project/elizabeth-tower-740,condo,80.0
The Hacienda,https://www.propertyguru.com.sg//project/the-hacienda-733,condo,109.0
Serenity Park,https://www.propertyguru.com.sg//project/serenity-park-732,condo,179.0
The Trillium,https://www.propertyguru.com.sg//project/the-trillium-746,condo,237.0
The Orchard Residences,https://www.propertyguru.com.sg//project/the-orchard-residences-750,condo,175.0
Montebleu,https://www.propertyguru.com.sg//project/montebleu-748,condo,151.0
The Solitaire,https://www.propertyguru.com.sg//project/the-solitaire-751,condo,59.0
Casa Merah,https://www.propertyguru.com.sg//project/casa-merah-743,condo,556.0
Sherwood Condo,https://www.propertyguru.com.sg//project/sherwood-condo-764,condo,116.0
Forest Hills Condo,https://www.propertyguru.com.sg//project/forest-hills-condo-766,condo,128.0
Pavilion 11,https://www.propertyguru.com.sg//project/pavilion-11-747,condo,180.0
The Seafront on Meyer,https://www.propertyguru.com.sg//project/the-seafront-on-meyer-749,condo,327.0
Ebony Mansions,https://www.propertyguru.com.sg//project/ebony-mansions-741,condo,51.0
The Tresor,https://www.propertyguru.com.sg//project/the-tresor-774,condo,62.0
Chelsea Gardens,https://www.propertyguru.com.sg//project/chelsea-gardens-784,condo,40.0
Villa Chancerita,https://www.propertyguru.com.sg//project/villa-chancerita-788,condo,15.0
Rocca Balestier,https://www.propertyguru.com.sg//project/rocca-balestier-780,condo,28.0
Beaufort on Nassim,https://www.propertyguru.com.sg//project/beaufort-on-nassim-773,condo,30.0
Watten Hill Condo,https://www.propertyguru.com.sg//project/watten-hill-condo-782,condo,70.0
Nassim Jade,https://www.propertyguru.com.sg//project/nassim-jade-777,condo,39.0
The Carpmaelina,https://www.propertyguru.com.sg//project/the-carpmaelina-779,condo,52.0
Sommerville Grandeur,https://www.propertyguru.com.sg//project/sommerville-grandeur-786,condo,96.0
Pinnacle 16,https://www.propertyguru.com.sg//project/pinnacle-16-785,condo,73.0
Chateau Eliza,https://www.propertyguru.com.sg//project/chateau-eliza-791,condo,37.0
Global Ville,https://www.propertyguru.com.sg//project/global-ville-787,condo,64.0
Mimosa Park,https://www.propertyguru.com.sg//project/mimosa-park-796,condo,175.0
Euro-Asia Park,https://www.propertyguru.com.sg//project/euro-asia-park-793,condo,163.0
Country Esquire,https://www.propertyguru.com.sg//project/country-esquire-783,condo,60.0
